Time,Queue Size,Packet Loss,Link Utilization,Global Sync Detected,Average Queue Depth,Times Problem Detected,Average Time Difference between Problem,Variance of Time Difference
659,86,37,83.000000,0.000000,0.000000,9,63750.500000,55058872.000000
660,89,37,86.000000,0.000000,0.000000,9,63750.500000,55058872.000000
661,92,37,89.000000,0.000000,0.000000,9,63750.500000,55058872.000000
662,95,37,92.000000,0.000000,0.000000,9,63750.500000,55058872.000000
663,98,37,95.000000,0.000000,0.000000,9,63750.500000,55058872.000000
664,101,37,98.000000,0.000000,0.000000,9,63750.500000,55058872.000000
665,105,37,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
666,111,37,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
667,119,37,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
668,129,37,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
669,141,37,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
670,155,37,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
671,171,37,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
672,189,38,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
673,170,38,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
674,154,38,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
675,141,38,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
676,131,38,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
677,124,38,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
678,120,38,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
679,119,38,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
680,121,38,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
681,126,38,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
682,134,38,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
683,145,38,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
684,159,38,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
685,175,38,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
686,193,39,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
687,179,39,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
688,167,39,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
689,157,39,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
690,149,39,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
691,143,39,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
692,139,39,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
693,137,39,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
694,137,39,100.000000,0.000000,0.000000,9,63750.500000,55058872.000000
